Transaction_ID,Date,Customer_ID,Product,Quantity,Price,Total_Spent,Discount,Payment_Method
6119,2023-08-02 06:00:00,2950,Headphones,1,,738.0899999999999,85.18,PayPal
9932,2024-01-08 03:00:00,2272,Headphones,3,1652.05,4925.71,30.44,Credit Card
9516,2023-12-21 19:00:00,2007,Tablet,1,660.58,643.71,16.87,Cash
8283,2023-10-31 10:00:00,2787,Keyboard,3,1008.84,2957.98,68.54,PayPal
8624,2023-11-14 15:00:00,2281,Mouse,2,1091.05,2154.41,27.69,Debit Card
7030,2023-09-09 05:00:00,2270,Monitor,2,360.71,632.8499999999999,88.57,nan
4330,2023-05-19 17:00:00,2475,Laptop,2,1471.93,2844.67,99.19,Cash
9935,2024-01-08 06:00:00,2556,Monitor,3,1010.23,3012.63,18.06,PayPal
4880,2023-06-11 15:00:00,2682,Mouse,1,937.75,924.3,13.45,Credit Card
4782,2023-06-07 13:00:00,2910,Monitor,3,1845.52,5439.889999999999,96.67,Debit Card
2670,2023-03-11 13:00:00,2728,Keyboard,1,997.39,992.52,4.87,PayPal
3109,2023-03-29 20:00:00,2176,Laptop,1,799.92,723.89,76.03,Credit Card
4038,2023-05-07 13:00:00,2504,Headphones,1,606.01,508.34,97.67,Cash
10626,2024-02-06 01:00:00,2905,Keyboard,3,454.83,1349.19,15.3,PayPal
4541,2023-05-28 12:00:00,2428,Tablet,4,1116.97,4436.46,31.42,Credit Card
9963,2024-01-09 10:00:00,2348,Monitor,4,86.16,341.46999999999997,3.17,PayPal
6390,2023-08-13 13:00:00,2988,Laptop,2,1385.36,2770.41,0.31,Cash
10297,2024-01-23 08:00:00,2346,Mouse,2,1145.56,2287.98,3.14,Cash
2278,2023-02-23 05:00:00,2054,Tablet,4,142.3,552.19,17.01,Cash
4530,2023-05-28 01:00:00,2040,Tablet,1,604.75,556.66,48.09,Credit Card
2881,2023-03-20 08:00:00,2807,Tablet,1,,921.12,85.24,PayPal
10570,2024-02-03 17:00:00,2105,Headphones,1,1279.64,1262.7800000000002,16.86,PayPal
4060,2023-05-08 11:00:00,2894,Keyboard,4,1863.31,7439.74,13.5,Cash
2958,2023-03-23 13:00:00,2160,Tablet,4,1019.81,4022.3999999999996,56.84,Debit Card
2195,2023-02-19 18:00:00,2903,Monitor,4,321.46,1198.96,86.88,Debit Card
5640,2023-07-13 07:00:00,2408,Mouse,4,901.35,3571.77,33.63,Credit Card
7876,2023-10-14 11:00:00,2451,Mouse,4,,797.52,63.56,Debit Card
8236,2023-10-29 11:00:00,2265,Tablet,4,540.73,2084.39,78.53,Credit Card
4185,2023-05-13 16:00:00,2179,Monitor,1,1711.32,1632.58,78.74,Debit Card
4786,2023-06-07 17:00:00,2935,Mouse,2,168.26,287.52,49.0,PayPal
10955,2024-02-19 18:00:00,2339,Headphones,4,21.79,40.279999999999994,46.88,PayPal
3927,2023-05-02 22:00:00,2758,Headphones,2,438.73,818.63,58.83,PayPal
7081,2023-09-11 08:00:00,2878,Tablet,1,1913.66,1879.74,33.92,Debit Card
2524,2023-03-05 11:00:00,2077,Monitor,1,1576.73,,24.23,Cash
7430,2023-09-25 21:00:00,2456,Monitor,1,1410.67,1321.5800000000002,89.09,Debit Card
5000,2023-06-16 15:00:00,2264,Keyboard,1,1683.32,1654.25,29.07,Credit Card
8977,2023-11-29 08:00:00,2334,Monitor,2,877.12,1704.08,50.16,Cash
2069,2023-02-14 12:00:00,2653,Tablet,4,1751.79,6937.29,69.87,Cash
6467,2023-08-16 18:00:00,2528,Laptop,4,625.59,2425.1600000000003,77.2,Credit Card
2579,2023-03-07 18:00:00,2621,Headphones,4,186.2,684.14,60.66,PayPal
5903,2023-07-24 06:00:00,2691,Keyboard,2,1574.0,3061.94,86.06,PayPal
10988,2024-02-21 03:00:00,2497,Tablet,2,1449.16,2865.6000000000004,32.72,nan
9171,2023-12-07 10:00:00,2966,Monitor,1,1599.32,1546.51,52.81,Debit Card
3630,2023-04-20 13:00:00,2311,Keyboard,4,925.52,3634.15,67.93,Cash
6318,2023-08-10 13:00:00,2573,Keyboard,1,1642.39,1618.66,23.73,PayPal
2079,2023-02-14 22:00:00,2456,Monitor,3,808.8,2406.68,19.72,Debit Card
6118,2023-08-02 05:00:00,2334,Keyboard,2,444.33,789.77,98.89,Debit Card
1711,2023-01-30 14:00:00,2115,Laptop,1,845.6,820.0,25.6,Debit Card
5140,2023-06-22 11:00:00,2965,Monitor,4,425.27,1660.73,40.35,Cash
3110,2023-03-29 21:00:00,2829,Laptop,4,1051.58,4194.5,11.82,Debit Card
10925,2024-02-18 12:00:00,2254,Headphones,4,1329.94,5223.900000000001,95.86,PayPal
1544,2023-01-23 15:00:00,2108,Headphones,3,678.88,1940.58,96.06,PayPal
1036,2023-01-02 11:00:00,2357,Monitor,4,741.8,2964.21,2.99,Credit Card
9920,2024-01-07 15:00:00,2744,Monitor,2,597.72,1111.3400000000001,84.1,Debit Card
10199,2024-01-19 06:00:00,2366,Keyboard,2,1883.32,3742.56,24.08,Credit Card
7640,2023-10-04 15:00:00,2964,Mouse,3,1441.47,4259.23,65.18,Debit Card
9077,2023-12-03 12:00:00,2408,Mouse,2,84.59,123.14000000000001,46.04,Debit Card
3458,2023-04-13 09:00:00,2074,Laptop,3,1481.69,4421.9,23.17,Debit Card
2374,2023-02-27 05:00:00,2132,Tablet,4,1473.31,5867.49,25.75,Cash
1034,2023-01-02 09:00:00,2354,Tablet,2,1838.87,3645.91,31.83,Debit Card
1319,2023-01-14 06:00:00,2759,Monitor,1,32.58,-58.46000000000001,91.04,Credit Card
6004,2023-07-28 11:00:00,2699,Monitor,4,1403.14,5600.06,12.5,Cash
5920,2023-07-24 23:00:00,2266,Headphones,4,482.64,1888.6599999999999,41.9,Credit Card
8727,2023-11-18 22:00:00,2828,Mouse,2,377.28,676.2299999999999,78.33,PayPal
3681,2023-04-22 16:00:00,2760,Keyboard,1,886.61,825.08,61.53,Cash
5922,2023-07-25 01:00:00,2168,Laptop,3,1950.16,5838.01,12.47,PayPal
3068,2023-03-28 03:00:00,2412,Keyboard,2,29.52,-27.990000000000002,87.03,Credit Card
4101,2023-05-10 04:00:00,2021,Laptop,4,664.26,2652.97,4.07,PayPal
4835,2023-06-09 18:00:00,2737,Mouse,1,1619.96,1576.5,43.46,Credit Card
6787,2023-08-30 02:00:00,2047,Monitor,3,1870.05,5529.87,80.28,PayPal
8919,2023-11-26 22:00:00,2637,Headphones,1,717.48,712.5,4.98,Cash
10346,2024-01-25 09:00:00,2051,Laptop,1,127.4,33.64,93.76,Credit Card
10894,2024-02-17 05:00:00,2427,Keyboard,1,1895.0,1827.38,67.62,Debit Card
6639,2023-08-23 22:00:00,2718,Tablet,2,792.64,1566.12,19.16,PayPal
6994,2023-09-07 17:00:00,2901,Tablet,3,1576.58,4705.139999999999,24.6,PayPal
1425,2023-01-18 16:00:00,2083,Monitor,1,400.76,345.63,55.13,PayPal
9741,2023-12-31 04:00:00,2120,Keyboard,2,1228.12,2369.93,86.31,Cash
3593,2023-04-19 00:00:00,2353,Tablet,2,1611.23,3130.48,91.98,Credit Card
6959,2023-09-06 06:00:00,2281,Keyboard,2,1842.12,3589.6099999999997,94.63,Debit Card
7330,2023-09-21 17:00:00,2007,Keyboard,4,85.62,272.6,69.88,PayPal
9656,2023-12-27 15:00:00,2394,Monitor,1,1462.33,1396.4099999999999,65.92,Debit Card
4795,2023-06-08 02:00:00,2928,Mouse,4,1557.97,6176.71,55.17,Cash
5930,2023-07-25 09:00:00,2450,Headphones,3,1758.46,5194.01,81.37,Cash
7396,2023-09-24 11:00:00,2225,Mouse,4,626.52,2431.19,74.89,Cash
2684,2023-03-12 03:00:00,2969,Headphones,1,492.84,427.04999999999995,65.79,Credit Card
3877,2023-04-30 20:00:00,2537,Laptop,2,177.48,308.0,46.96,Credit Card
9919,2024-01-07 14:00:00,2120,Mouse,3,440.93,1243.54,79.25,Credit Card
6573,2023-08-21 04:00:00,2400,Keyboard,2,189.78,334.12,45.44,Cash
1347,2023-01-15 10:00:00,2669,Mouse,4,126.74,461.63,45.33,Debit Card
4449,2023-05-24 16:00:00,2497,Keyboard,1,1232.2,1188.3700000000001,43.83,PayPal
6012,2023-07-28 19:00:00,2191,Laptop,1,911.73,893.25,18.48,Credit Card
10013,2024-01-11 12:00:00,2800,Monitor,4,728.88,2873.11,42.41,Credit Card
6225,2023-08-06 16:00:00,2013,Tablet,4,207.62,827.49,2.99,Cash
4913,2023-06-13 00:00:00,2807,Mouse,2,1461.11,,65.25,PayPal
9710,2023-12-29 21:00:00,2466,Headphones,1,,600.3000000000001,62.29,PayPal
5632,2023-07-12 23:00:00,2221,Monitor,3,252.79,694.6,63.77,Debit Card
9275,2023-12-11 18:00:00,2759,Laptop,1,983.94,939.22,44.72,Debit Card
2651,2023-03-10 18:00:00,2825,Monitor,4,1952.49,7723.42,86.54,Credit Card
10119,2024-01-15 22:00:00,2438,Tablet,4,1097.59,4375.79,14.57,Cash
5697,2023-07-15 16:00:00,2197,Keyboard,4,1458.23,5803.82,29.1,Cash
1470,2023-01-20 13:00:00,2467,Mouse,3,1935.15,5733.43,72.02,Credit Card
10879,2024-02-16 14:00:00,2044,Keyboard,3,714.19,2069.59,72.98,Debit Card
9234,2023-12-10 01:00:00,2788,Laptop,1,38.09,31.800000000000004,6.29,Credit Card
1968,2023-02-10 07:00:00,2691,Keyboard,1,1637.37,1547.8899999999999,89.48,Credit Card
7197,2023-09-16 04:00:00,2417,Keyboard,4,892.32,3499.42,69.86,Credit Card
2331,2023-02-25 10:00:00,2771,Monitor,3,557.74,1610.29,62.93,nan
1451,2023-01-19 18:00:00,2676,Laptop,4,1322.18,5203.93,84.79,Cash
9941,2024-01-08 12:00:00,2410,Laptop,3,1192.0,3572.07,3.93,Credit Card
9676,2023-12-28 11:00:00,2563,Headphones,4,354.85,1398.5600000000002,20.84,Debit Card
5793,2023-07-19 16:00:00,2820,Tablet,2,963.58,1862.5800000000002,64.58,Debit Card
9759,2023-12-31 22:00:00,2453,Laptop,3,771.1,2238.96,74.34,Debit Card
5748,2023-07-17 19:00:00,2164,Laptop,3,1799.85,5348.5199999999995,51.03,Cash
1563,2023-01-24 10:00:00,2206,Laptop,2,1526.7,2959.12,94.28,Cash
4669,2023-06-02 20:00:00,2126,Keyboard,2,1228.88,2412.8700000000003,44.89,PayPal
1136,2023-01-06 15:00:00,2746,Laptop,3,,2617.0699999999997,52.57,Credit Card
4686,2023-06-03 13:00:00,2741,Laptop,4,1780.18,7088.26,32.46,Credit Card
